source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,...On Monday nearly 12.2 million people watched Mr. Trump’s briefing on CNN Fox News and MSNBC according to Nielsen — ‘Monday Night Football’ numbers. Millions more are watching on ABC CBS NBC and online streaming sites and the audience is expanding. On Monday Fox News...,3/29/2020 17:48,4772,19365,FALSE,1.24432E+18
Twitter for iPhone,...alone attracted 6.2 million viewers for the president’s briefing — an astounding number for a 6 p.m. cable broadcast more akin to the viewership for a popular prime-time sitcom...,3/29/2020 17:48,9683,47549,FALSE,1.24432E+18
Twitter for iPhone,“President Trump is a ratings hit. Since reviving the daily White House briefing Mr. Trump and his coronavirus updates have attracted an average audience of 8.5 million on cable news roughly the viewership of the season finale of ‘The Bachelor.’ Numbers are continuing to rise...,3/29/2020 17:48,24868,126239,FALSE,1.24432E+18
Twitter for iPhone,Because the “Ratings” of my News Conferences etc. are so high “Bachelor finale Monday Night Football type numbers” according to the @nytimes the Lamestream Media is going CRAZY. “Trump is reaching too many people we must stop him.” said one lunatic. See you at 5:00 P.M.!,3/29/2020 17:06,32262,140277,FALSE,1.24431E+18
Twitter for iPhone,Polls are showing tremendous disapproval of Lamestream Media coverage of the Virus crisis. The Fake News just hasn’t figured that out yet!,3/29/2020 16:53,25784,122169,FALSE,1.24431E+18
Twitter for iPhone,The Lamestream Media wants us to fail. That will NEVER happen!,3/29/2020 16:34,38580,202723,FALSE,1.2443E+18
Twitter for iPhone,RT @realDonaldTrump: With the courage of our doctors and nurses with the skill of our scientists and innovators with the determination of…,3/29/2020 16:29,45705,0,TRUE,1.2443E+18
Twitter for iPhone,RT @WhiteHouse: This afternoon President @realDonaldTrump will deliver remarks at the Naval Station Norfolk send-off for the #USNSComfort.…,3/29/2020 16:26,2319,0,TRUE,1.2443E+18
Twitter for iPhone,RT @Scavino45: Air Force One landing in Virginia... https://t.co/eHXzkr2pZX,3/29/2020 16:25,8025,0,TRUE,1.2443E+18
Twitter for iPhone,RT @WhiteHouse: To support the hundreds of millions of Americans making tremendous sacrifices on the home front President @realDonaldTrump…,3/29/2020 16:24,6671,0,TRUE,1.2443E+18
Twitter for iPhone,RT @GOPChairwoman: “Our country is at war with an invisible enemy. We are marshaling the full power of the American nation… [The USNS Comfo…,3/29/2020 16:24,2410,0,TRUE,1.2443E+18
Twitter for iPhone,RT @WhiteHouse: “This great ship behind me is a 70000-ton message of hope and solidarity to the incredible people of New York.” — Presiden…,3/29/2020 16:23,7755,0,TRUE,1.2443E+18
Twitter for iPhone,RT @GOPChairwoman: Great advice for America’s children! https://t.co/FoWYoIBnnp,3/29/2020 16:23,4819,0,TRUE,1.2443E+18
Twitter for iPhone,RT @IngrahamAngle: Smart that @realDonaldTrump looked at the data accurate projections and nixed the horrid idea of a federal quarantine…,3/29/2020 16:23,7708,0,TRUE,1.2443E+18
Twitter for iPhone,RT @GOPChairwoman: The enemy may be invisible but @realDonaldTrump is fighting a war against this crisis. His leadership is all the more…,3/29/2020 16:22,2400,0,TRUE,1.2443E+18
Twitter for iPhone,RT @GOPChairwoman: Pelosi can't get away with rewriting history.In January Democrats were all-consumed with a bogus impeachment.What w…,3/29/2020 16:21,16800,0,TRUE,1.2443E+18
Twitter for iPhone,Hope the FDA can approve Mask Sterilization equipment ASAP. As per Governor @MikeDeWine there is a company in Ohio @Battelle which has equipment that can sterilize masks quickly.,3/29/2020 16:12,13180,57059,FALSE,1.2443E+18
Twitter for iPhone,“With the Tax Cuts and new Trade Deals we were set for a tremendous growth rate this year.... and then the Virus came along.” @larry_kudlow  @MariaBartiromo We were breaking all records especially on employment. It will all come roaring back again and fast!,3/29/2020 16:07,16619,80484,FALSE,1.2443E+18
Twitter for iPhone,RT @Battelle: Coronavirus In Ohio: @Battelle Pioneers Technology To Clean And Reuse PPE | @WOSU Radiohttps://t.co/qE1SFhofW4,3/29/2020 15:13,4156,0,TRUE,1.24428E+18
Twitter for iPhone,Highly recommended by Governor @MikeDeWine of Ohio. @FDA must move quickly! https://t.co/pLpI4CSs9H,3/29/2020 15:13,16298,46789,FALSE,1.24428E+18
Twitter for iPhone,RT @VaticanNews: #PopeFrancis delivers an extraordinary blessing “To the City and to the World” to pray for an end to the Covid-19 #coronav…,3/29/2020 14:48,5126,0,TRUE,1.24428E+18
Twitter for iPhone,RT @GovRonDeSantis: The firing of Andrew McCabe is a rare example of someone being held accountable in Washington.  I hope the IG issues hi…,3/29/2020 14:34,7252,0,TRUE,1.24427E+18
Twitter for iPhone,RT @Jrock41S: @freep Albom's softball interview with Whitmer this past Friday (AM 760 WJR) was horrific.  Wasn't sure what was more disturb…,3/29/2020 14:29,3967,0,TRUE,1.24427E+18
Twitter for iPhone,Will be doing a press conference today at 5:00 P.M. The White House. People are working harder than I have ever seen people work. It is a beautiful thing to watch!,3/29/2020 14:01,27740,158356,FALSE,1.24426E+18
Twitter for iPhone,RT @realDonaldTrump: https://t.co/UJ9a8k4oQk,3/29/2020 3:30,19189,0,TRUE,1.2441E+18
Twitter for iPhone,RT @SenKevinCramer: Thank you @POTUS @realDonaldTrump for signing the CARES Act right away and for your leadership throughout this entire p…,3/29/2020 3:30,5349,0,TRUE,1.2441E+18
Twitter for iPhone,RT @Scavino45: “The ship behind me is a 70000 ton msg of hope &amp; solidarity to the incredible people of NY: we are here for you we are fig…,3/29/2020 3:29,12593,0,TRUE,1.2441E+18
Twitter for iPhone,RT @CDCDirector: Domestic Travel Advisory: Due to extensive community transmission of #COVID19 in New York New Jersey and Connecticut CD…,3/29/2020 3:28,7375,0,TRUE,1.2441E+18
Twitter for iPhone,....Federal Government. A quarantine will not be necessary. Full details will be released by CDC tonight. Thank you!,3/29/2020 0:19,16728,75823,FALSE,1.24406E+18
Twitter for iPhone,On the recommendation of the White House CoronaVirus Task Force and upon consultation with the Governor’s of New York New Jersey and Connecticut I have asked the @CDCgov to issue a strong Travel Advisory to be administered by the Governors in consultation with the....,3/29/2020 0:19,24032,110053,FALSE,1.24406E+18
Twitter for iPhone,With the courage of our doctors and nurses with the skill of our scientists and innovators with the determination of the American People and with the grace of God WE WILL WIN THIS WAR. When we achieve this victory we will emerge stronger and more united than ever before! https://t.co/sFmxKzXdGC,3/28/2020 22:30,45662,190078,FALSE,1.24403E+18
Twitter for iPhone,RT @USNavy: We will stop at nothing to protect the people of our country. - @POTUS #COVID19 #USNavyAlwaysThere https://t.co/BMoZwIjVrz,3/28/2020 22:24,16355,0,TRUE,1.24403E+18
Twitter for iPhone,RT @WhiteHouse: LIVE: President @realDonaldTrump at Send-Off for USNS Comfort https://t.co/ovTIY8tpjb,3/28/2020 20:41,9107,0,TRUE,1.244E+18
Twitter for iPhone,https://t.co/UJ9a8k4oQk,3/28/2020 18:33,19193,76957,FALSE,1.24397E+18
Twitter for iPhone,I am giving consideration to a QUARANTINE of developing “hot spots” New York New Jersey and Connecticut. A decision will be made one way or another shortly.,3/28/2020 17:31,33780,180650,FALSE,1.24395E+18
Twitter for iPhone,Heading to the Great State of Virginia now will be there shortly. The #USNSComfort is “loaded to the gills” at Naval Station Norfolk departing for New York City this afternoon. https://t.co/1ZSUweoX7x,3/28/2020 16:56,16109,73769,FALSE,1.24395E+18
Twitter for iPhone,....very often FAKE NEWS. Lamestream Media should be forced to reveal sources very much as they did in the long ago past. If they did that the media would be trusted again and Fake News would largely be a thing of the past!,3/28/2020 14:16,17025,77889,FALSE,1.2439E+18
Twitter for iPhone,....very often FAKE NEWS. Lamestream Media should be forced to reveal sources very much as they did in the long ago past. If they did that the media would be trusted again and Fake News would largely be a thing if the past!,3/28/2020 12:33,8018,33741,FALSE,1.24388E+18
Twitter for iPhone,One of the reasons that Fake News has become so prevalent &amp; far reaching is the fact that corrupt “journalists” base their stories on SOURCES that they make up in order to totally distort a narrative or story. When you see “five sources say” don’t believe the story it is....,3/28/2020 12:33,38212,170197,FALSE,1.24388E+18
Twitter for iPhone,So much of the Lamestream Media is writing and broadcasting stories with facts that are made up and knowingly wrong. They are doing it by quoting unnamed sources that simply do not exist. These are very dangerous &amp; corrupt people who will do anything to win. NAME YOUR SOURCES!,3/28/2020 12:13,44841,200582,FALSE,1.24387E+18
Twitter for iPhone,Thank you James! https://t.co/Ku1RMHmeVK,3/28/2020 4:49,26286,124088,FALSE,1.24376E+18
Twitter for iPhone,RT @LaraLeaTrump: Awesome to see our team still working hard for @realDonaldTrump  — stay safe everybody! 🇺🇸,3/28/2020 4:48,6780,0,TRUE,1.24376E+18
Twitter for iPhone,RT @TeamTrump: President @realDonaldTrump signs coronavirus relief CARES Act! https://t.co/Ine2eOONs2,3/28/2020 4:48,8026,0,TRUE,1.24376E+18
Twitter for iPhone,RT @Mike_Pence: Today President @realDonaldTrump signed into the law the #CARESAct which will help small businesses stay open help worker…,3/28/2020 4:47,7772,0,TRUE,1.24376E+18
Twitter for iPhone,RT @IvankaTrump: Today President @realDonaldTrump signed the #CARESActthe single largest economic relief package in 🇺🇸history. POTUS has &amp;…,3/28/2020 4:47,8896,0,TRUE,1.24376E+18
Twitter for iPhone,RT @TeamTrump: President @realDonaldTrump’s message to Young Americans: You are a citizen of the greatest country anywhere in the world we…,3/28/2020 4:46,10466,0,TRUE,1.24376E+18
Twitter for iPhone,RT @IngrahamAngle: They’re not happy because ⁦@realDonaldTrump⁩ is speaking directly to American people during a crisis and getting strong…,3/28/2020 4:46,14711,0,TRUE,1.24376E+18
Twitter for iPhone,RT @GeraldoRivera: Trump-haters clearly  frustrated that the American people-many of whom did not vote for him-approve of the epic job @rea…,3/28/2020 4:45,9376,0,TRUE,1.24376E+18
